[ud-lm] split=train sentences=36404 avg_len=35.7 skipped=0  (ewt=12544, gum=10224, lines=3457, partut=1781, atis=4274, esl=4124)
[ud-lm] split=dev sentences=5922 avg_len=33.5 skipped=0  (ewt=2001, gum=1575, lines=1118, partut=156, atis=572, esl=500)
==============================================================================
start  2026-05-03T03:01:11
preset=prod  params=302.49M  vocab=76  d=1024 h=16 L=24 ff=4096 seq=96
device=cuda  amp=True  batch=8  steps=15000  lr=0.0003->1e-05 warmup=100
data: UD English EWT  train=36404 sentences  dev=5922
ckpts -> src/sara_brain/cortex/checkpoints
==============================================================================
  step    loss     ppl     lr       tok/s     gpu
  5260  1.2101    3.35  2.22e-04      4564    4861MB (peak 6076MB)
  5280  1.1369    3.12  2.22e-04      4566    4861MB (peak 6076MB)
  5300  1.1945    3.30  2.21e-04      4580    4861MB (peak 6076MB)
  5320  1.2737    3.57  2.21e-04      4466    4861MB (peak 6076MB)
  5340  1.2361    3.44  2.20e-04      4575    4861MB (peak 6076MB)
  5360  1.0392    2.83  2.20e-04      4619    4861MB (peak 6076MB)
  5380  1.1797    3.25  2.19e-04      4572    4861MB (peak 6076MB)
  5400  1.2745    3.58  2.19e-04      4609    4861MB (peak 6076MB)
  5420  1.3582    3.89  2.18e-04      4525    4861MB (peak 6076MB)
  5440  1.2668    3.55  2.17e-04      4611    4861MB (peak 6076MB)
  5460  1.0545    2.87  2.17e-04      4569    4861MB (peak 6076MB)
  5480  1.1525    3.17  2.16e-04      4585    4861MB (peak 6076MB)
  5500  1.2374    3.45  2.16e-04      4557    4861MB (peak 6076MB)
[eval] step=5500  dev_ppl=3.102
[ckpt] src/sara_brain/cortex/checkpoints/grammar_prod_005500.pt
  5520  1.1091    3.03  2.15e-04      1723    4861MB (peak 6076MB)
  5540  1.0714    2.92  2.15e-04      4554    4861MB (peak 6076MB)
  5560  1.2488    3.49  2.14e-04      4547    4861MB (peak 6076MB)
  5580  1.3039    3.68  2.14e-04      4585    4861MB (peak 6076MB)
  5600  1.1011    3.01  2.13e-04      4594    4861MB (peak 6076MB)
