[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229436 + eval 15316 pairs)...
[hamroby-extract] step=13650/15000 loss=0.1038 elapsed=375.0s
[hamroby-extract] step=13700/15000 loss=0.1007 elapsed=376.2s
[hamroby-extract] step=13750/15000 loss=0.0885 elapsed=377.7s
[hamroby-extract] step=13800/15000 loss=0.0954 elapsed=379.0s
[hamroby-extract] step=13850/15000 loss=0.0959 elapsed=380.4s
[hamroby-extract] step=13900/15000 loss=0.1010 elapsed=381.6s
[hamroby-extract] step=13950/15000 loss=0.1016 elapsed=383.1s
[hamroby-extract] step=14000/15000 loss=0.0992 elapsed=384.4s
[hamroby-extract] step=14050/15000 loss=0.0927 elapsed=385.6s
[hamroby-extract] step=14100/15000 loss=0.0934 elapsed=386.7s
[hamroby-extract] step=14150/15000 loss=0.0976 elapsed=388.1s
[hamroby-extract] step=14200/15000 loss=0.0878 elapsed=389.4s
[hamroby-extract] step=14250/15000 loss=0.0902 elapsed=390.7s
[hamroby-extract] step=14300/15000 loss=0.0925 elapsed=392.2s
[hamroby-extract] step=14350/15000 loss=0.0855 elapsed=393.5s
[hamroby-extract] step=14400/15000 loss=0.0987 elapsed=395.0s
[hamroby-extract] step=14450/15000 loss=0.0929 elapsed=396.2s
[hamroby-extract] step=14500/15000 loss=0.0910 elapsed=397.5s
[hamroby-extract] step=14550/15000 loss=0.0909 elapsed=398.8s
[hamroby-extract] step=14600/15000 loss=0.0943 elapsed=400.1s
[hamroby-extract] step=14650/15000 loss=0.1000 elapsed=401.4s
[hamroby-extract] step=14700/15000 loss=0.0976 elapsed=402.7s
[hamroby-extract] step=14750/15000 loss=0.0920 elapsed=404.1s
[hamroby-extract] step=14800/15000 loss=0.0985 elapsed=405.6s
[hamroby-extract] step=14850/15000 loss=0.0896 elapsed=407.2s
[hamroby-extract] step=14900/15000 loss=0.0987 elapsed=408.6s
[hamroby-extract] step=14950/15000 loss=0.0893 elapsed=410.0s
[hamroby-extract] step=15000/15000 loss=0.0937 elapsed=411.3s
[hamroby-extract] eval token_acc=0.953 triple_em=0.834
[hamroby-extract] saved src/sara_brain/cortex/checkpoints/hamroby_extractor_v1_aug5.pt
